iter	Passed	Remaining
0	178	178634
1	185	92683
2	199	66209
3	210	52346
4	229	45636
5	242	40157
6	250	35592
7	278	34577
8	293	32325
9	321	31779
10	331	29812
11	342	28166
12	353	26826
13	371	26139
14	377	24813
15	386	23766
16	392	22673
17	417	22761
18	429	22171
19	438	21485
20	452	21099
21	468	20834
22	479	20373
23	488	19848
24	497	19387
25	515	19318
26	527	19027
27	537	18661
28	546	18315
29	562	18202
30	570	17817
31	584	17682
32	596	17489
33	603	17134
34	612	16893
35	619	16591
36	635	16529
37	650	16456
38	661	16306
39	673	16154
40	695	16275
41	707	16127
42	714	15897
43	736	15998
44	747	15865
45	761	15794
46	773	15687
47	787	15609
48	793	15399
49	806	15318
50	812	15118
51	826	15061
52	841	15038
53	858	15039
54	883	15175
55	896	15106
56	907	15005
57	937	15219
58	954	15219
59	968	15171
60	989	15234
61	1000	15134
62	1006	14970
63	1027	15029
64	1035	14890
65	1042	14754
66	1049	14619
67	1057	14497
68	1074	14498
69	1083	14397
70	1091	14286
71	1100	14187
72	1127	14323
73	1144	14321
74	1157	14280
75	1178	14322
76	1185	14209
77	1195	14128
78	1201	14005
79	1213	13957
80	1229	13948
81	1236	13837
82	1250	13816
83	1259	13739
84	1265	13622
85	1279	13599
86	1287	13510
87	1304	13522
88	1311	13426
89	1323	13378
90	1330	13287
91	1339	13221
92	1359	13260
93	1371	13217
94	1378	13130
95	1389	13085
96	1409	13125
97	1420	13071
98	1426	12984
99	1437	12934
100	1456	12964
101	1465	12901
102	1475	12852
103	1489	12828
104	1503	12813
105	1510	12738
106	1524	12723
107	1541	12731
108	1554	12707
109	1568	12689
110	1575	12615
111	1592	12626
112	1602	12578
113	1614	12546
114	1620	12471
115	1627	12404
116	1642	12398
117	1649	12332
118	1655	12259
119	1665	12212
120	1671	12142
121	1695	12202
122	1703	12149
123	1713	12107
124	1719	12039
125	1732	12014
126	1748	12022
127	1755	11962
128	1763	11907
129	1770	11851
130	1787	11860
131	1797	11817
132	1804	11760
133	1811	11703
134	1818	11652
135	1831	11634
136	1854	11684
137	1861	11626
138	1867	11568
139	1885	11582
140	1893	11535
141	1900	11485
142	1908	11440
143	1914	11383
144	1929	11376
145	1939	11346
146	1947	11298
147	1957	11270
148	1963	11216
149	1987	11261
150	1995	11220
151	2008	11207
152	2025	11214
153	2037	11191
154	2044	11147
155	2071	11204
156	2078	11161
157	2089	11135
158	2096	11087
159	2124	11154
160	2135	11128
161	2142	11081
